Model,Rank,Doc Index,Similarity,Snippet
word2vec_stemmed_vs100_w10_sg0_hs1,5,1420,0.8324,didnt say wasnt ready romance didnt promise would friend danced though slow danc...
word2vec_stemmed_vs100_w10_sg1_hs0,1,11450,0.9534,im fortyone moon full make love well touch like touch like mademoiselle youre fr...
word2vec_stemmed_vs100_w10_sg1_hs0,2,50507,0.9526,many time said forever said love would always true somethin heart always knew id...
word2vec_stemmed_vs100_w10_sg1_hs0,3,1420,0.9519,didnt say wasnt ready romance didnt promise would friend danced though slow danc...
word2vec_stemmed_vs100_w10_sg1_hs0,4,34744,0.9512,wish could tell word would come wrong oh knew way felt long know world apart don...
word2vec_stemmed_vs100_w10_sg1_hs0,5,19964,0.9509,thought id seen change thought knew well back page there tale tell guess saw did...
word2vec_stemmed_vs100_w10_sg1_hs1,1,1420,0.9604,didnt say wasnt ready romance didnt promise would friend danced though slow danc...
word2vec_stemmed_vs100_w10_sg1_hs1,2,11450,0.9599,im fortyone moon full make love well touch like touch like mademoiselle youre fr...
word2vec_stemmed_vs100_w10_sg1_hs1,3,19964,0.9588,thought id seen change thought knew well back page there tale tell guess saw did...
word2vec_stemmed_vs100_w10_sg1_hs1,4,19322,0.9573,fogged dallas way la staring screen flight delayed voice behind asked stranger c...
word2vec_stemmed_vs100_w10_sg1_hs1,5,12200,0.9566,lost day found know know there thing wouldnt yesterday rough weather dear didnt ...
word2vec_stemmed_vs100_w5_sg0_hs0,1,44667,0.9288,couldnt wait came late wasnt didnt care im sinking low go one goit bed share spe...
word2vec_stemmed_vs100_w5_sg0_hs0,2,11450,0.9238,im fortyone moon full make love well touch like touch like mademoiselle youre fr...
word2vec_stemmed_vs100_w5_sg0_hs0,3,19964,0.9236,thought id seen change thought knew well back page there tale tell guess saw did...
word2vec_stemmed_vs100_w5_sg0_hs0,4,56605,0.9189,didnt sleep wink last night cause walked night sittin rottin hoping youd come kn...
word2vec_stemmed_vs100_w5_sg0_hs0,5,1420,0.918,didnt say wasnt ready romance didnt promise would friend danced though slow danc...
word2vec_stemmed_vs100_w5_sg0_hs1,1,19964,0.8919,thought id seen change thought knew well back page there tale tell guess saw did...
word2vec_stemmed_vs100_w5_sg0_hs1,2,56605,0.8857,didnt sleep wink last night cause walked night sittin rottin hoping youd come kn...
word2vec_stemmed_vs100_w5_sg0_hs1,3,11450,0.8843,im fortyone moon full make love well touch like touch like mademoiselle youre fr...
word2vec_stemmed_vs100_w5_sg0_hs1,4,2570,0.8828,last night heaven today im still cloud arm heaven didnt know walked hurt walked ...
word2vec_stemmed_vs100_w5_sg0_hs1,5,1420,0.8787,didnt say wasnt ready romance didnt promise would friend danced though slow danc...
word2vec_stemmed_vs100_w5_sg1_hs0,1,11450,0.9554,im fortyone moon full make love well touch like touch like mademoiselle youre fr...
word2vec_stemmed_vs100_w5_sg1_hs0,2,12242,0.9534,close paradise closer like im along ride happened unexpectedly promised wouldnt ...
word2vec_stemmed_vs100_w5_sg1_hs0,3,19322,0.9492,fogged dallas way la staring screen flight delayed voice behind asked stranger c...
word2vec_stemmed_vs100_w5_sg1_hs0,4,1420,0.9482,didnt say wasnt ready romance didnt promise would friend danced though slow danc...
word2vec_stemmed_vs100_w5_sg1_hs0,5,50507,0.9481,many time said forever said love would always true somethin heart always knew id...
word2vec_stemmed_vs100_w5_sg1_hs1,1,12242,0.9512,close paradise closer like im along ride happened unexpectedly promised wouldnt ...
word2vec_stemmed_vs100_w5_sg1_hs1,2,19322,0.9505,fogged dallas way la staring screen flight delayed voice behind asked stranger c...
word2vec_stemmed_vs100_w5_sg1_hs1,3,11450,0.9498,im fortyone moon full make love well touch like touch like mademoiselle youre fr...
word2vec_stemmed_vs100_w5_sg1_hs1,4,19964,0.9494,thought id seen change thought knew well back page there tale tell guess saw did...
word2vec_stemmed_vs100_w5_sg1_hs1,5,1420,0.9466,didnt say wasnt ready romance didnt promise would friend danced though slow danc...
